zona_climatica;suris_range;volris_range;supdi_range;EPgl_nren;EPgl_ren;CO2
B;<50;5000-10000;50-100;0.0;0.0;0.0
B;<50;5000-10000;100-200;0.0;0.0;0.0
B;<50;5000-10000;200-500;0.0;0.0;0.0
B;<50;5000-10000;500-1000;0.0;0.0;0.0
B;<50;5000-10000;1000-5000;0.0;0.0;0.0
B;<50;5000-10000;>5000;0.0;0.0;0.0
B;<50;>10000;<50;0.0;0.0;0.0
B;<50;>10000;50-100;0.0;0.0;0.0
B;<50;>10000;100-200;0.0;0.0;0.0
B;<50;>10000;200-500;0.0;0.0;0.0
B;<50;>10000;500-1000;0.0;0.0;0.0
B;<50;>10000;1000-5000;0.0;0.0;0.0
B;<50;>10000;>5000;0.0;0.0;0.0
B;50-100;<50;<50;0.0;0.0;0.0
B;50-100;<50;50-100;0.0;0.0;0.0
B;50-100;<50;100-200;0.0;0.0;0.0
B;50-100;<50;200-500;0.0;0.0;0.0
B;50-100;<50;500-1000;0.0;0.0;0.0
B;50-100;<50;1000-5000;0.0;0.0;0.0
B;50-100;<50;>5000;0.0;0.0;0.0
B;50-100;50-100;<50;102.29;4.19;19.9
B;50-100;50-100;50-100;114.11;9.81;24.28
B;50-100;50-100;100-200;144.86;12.22;30.5
B;50-100;50-100;200-500;169.39;22.94;35.13
B;50-100;50-100;500-1000;0.0;0.0;0.0
B;50-100;50-100;1000-5000;0.0;0.0;0.0
B;50-100;50-100;>5000;0.0;0.0;0.0
B;50-100;100-200;<50;122.83;22.25;26.39
B;50-100;100-200;50-100;113.54;15.79;24.32
B;50-100;100-200;100-200;142.39;18.07;29.82
B;50-100;100-200;200-500;184.25;18.21;38.35
B;50-100;100-200;500-1000;257.31;27.48;52.66
B;50-100;100-200;1000-5000;337.45;17.74;66.92
B;50-100;100-200;>5000;0.0;0.0;0.0
B;50-100;200-500;<50;110.48;19.08;23.66
B;50-100;200-500;50-100;96.77;13.03;20.51
B;50-100;200-500;100-200;116.86;14.48;24.25
B;50-100;200-500;200-500;170.82;19.62;34.78
B;50-100;200-500;500-1000;276.27;21.71;55.91
B;50-100;200-500;1000-5000;368.54;29.15;73.83
B;50-100;200-500;>5000;0.0;0.0;0.0
B;50-100;500-1000;<50;72.17;9.75;15.89
B;50-100;500-1000;50-100;122.31;12.71;25.83
B;50-100;500-1000;100-200;133.48;13.3;27.92
B;50-100;500-1000;200-500;193.58;23.73;39.75
B;50-100;500-1000;500-1000;262.25;21.73;53.19
B;50-100;500-1000;1000-5000;237.86;0.74;47.17
B;50-100;500-1000;>5000;0.0;0.0;0.0
B;50-100;1000-5000;<50;0.0;0.0;0.0
B;50-100;1000-5000;50-100;67.83;12.69;14.37
B;50-100;1000-5000;100-200;171.38;14.91;35.58
B;50-100;1000-5000;200-500;260.05;15.52;53.74
B;50-100;1000-5000;500-1000;373.82;14.17;76.64
B;50-100;1000-5000;1000-5000;523.51;4.65;105.39
B;50-100;1000-5000;>5000;0.0;0.0;0.0
B;50-100;5000-10000;<50;0.0;0.0;0.0
B;50-100;5000-10000;50-100;0.0;0.0;0.0
B;50-100;5000-10000;100-200;0.0;0.0;0.0
B;50-100;5000-10000;200-500;0.0;0.0;0.0
B;50-100;5000-10000;500-1000;0.0;0.0;0.0
B;50-100;5000-10000;1000-5000;0.0;0.0;0.0
B;50-100;5000-10000;>5000;0.0;0.0;0.0
B;50-100;>10000;<50;0.0;0.0;0.0
B;50-100;>10000;50-100;0.0;0.0;0.0
B;50-100;>10000;100-200;0.0;0.0;0.0
B;50-100;>10000;200-500;0.0;0.0;0.0
B;50-100;>10000;500-1000;0.0;0.0;0.0
B;50-100;>10000;1000-5000;0.0;0.0;0.0
B;50-100;>10000;>5000;0.0;0.0;0.0
B;100-200;<50;<50;0.0;0.0;0.0
B;100-200;<50;50-100;0.0;0.0;0.0
B;100-200;<50;100-200;0.0;0.0;0.0
B;100-200;<50;200-500;0.0;0.0;0.0
B;100-200;<50;500-1000;0.0;0.0;0.0
B;100-200;<50;1000-5000;0.0;0.0;0.0
B;100-200;<50;>5000;0.0;0.0;0.0
B;100-200;50-100;<50;100.63;19.42;23.02
B;100-200;50-100;50-100;114.64;27.63;27.04
B;100-200;50-100;100-200;122.32;14.84;26.79
